Track Name,Album_Name,Song_Type,Artist Name(s),Language,Release Year,Mood,Genre_category,Duration (mins),Popularity,Stream Category,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Kunjikkavil Meghame ,Aashaan,Movie,Johnpaul George;Sooraj Santhosh;Vinayak Sasikumar,Malayalam,2025,Romantic,Soul,4.74,72,Medium,Reetha Records,0.527,0.399,-8.352,0.0251,0.453,0.00125,0.11,0.416,94.963
Nin Koode Njan Illayo,Pachuvum Athbutha Vilakkum,Movie,Justin Prabhakaran;Gowtham Bharadwaj;Chinmayi,Malayalam,2023,Sad,Blues,3.89,27,Low,T-Series,0.367,0.487,-9.632,0.0312,0.577,0.000572,0.13,0.284,94.894
Kaathal Marangal Pookkane,Pranaya Vilasam ,Movie,Shaan Rahman;Sreejish Subramanian;Nanda J Devan,Malayalam,2023,Romantic,Soul,2.96,38,Low,Think Music,0.548,0.452,-9.014,0.121,0.642,0,0.0631,0.543,76.995
Aadharanjali,Romancham,Movie,Sushin Shyam;Madhuvanthi Narayan,Malayalam,2023,Happy,Pop,2.49,36,Low,Saregama,0.702,0.635,-8.017,0.104,0.268,0.00192,0.0931,0.471,149.955
Parayuvaan ,Ishq,Movie,Sid Sriram;Neha S. Nair;Jakes Bejoy;Joe Paul,Malayalam,2019,Romantic,Soul,4.62,65,Medium,E4 Entertainment,0.565,0.565,-8.64,0.0515,0.639,0.00206,0.0838,0.246,146.977
Neela Nilave ,RDX,Movie,Sam C.S.;Kapil Kapilan,Malayalam,2023,Romantic,Soul,4.22,58,Medium,Saregama India Ltd,0.765,0.505,-6.698,0.0345,0.147,0,0.0988,0.526,119.957
Dwapara ,Krishnam Pranaya Sakhi,Movie,Jaskaran Singh;Arjun Janya;V Nagendra Prasad,Kannada,2024,Romantic,Soul,4.73,0,Low,Aananda Audio Video,0.706,0.84,-5.712,0.0368,0.138,0.00000213,0.178,0.625,90.013
Baanali Badalago ,Simple Aag Ond Love Story,Movie,Sonu Nigam;Siddu Kodipura,Kannada,2018,Romantic,Soul,4.81,51,Medium,Jhankar Music,0.597,0.525,-6.663,0.0375,0.479,0,0.132,0.47,119.954
Dhare Neenididaasare ,Sapta Sagaradaache Ello - Side B,Movie,Charanraj MR;Rakshit Shetty;K. S. Harisankar,Kannada,2023,Sad,Blues,2.6,34,Low,Paramvah Music,0.441,0.156,-12.95,0.0318,0.952,0.035,0.0856,0.234,108.228
Kanasalu ,Mungaru Male 2,Movie,Shreya Ghoshal;Arjun Janya;Shashank,Kannada,2018,Romantic,Soul,4.65,40,Medium,Jhankar Music,0.688,0.408,-8.692,0.037,0.387,0.00000226,0.1,0.258,119.987
