Track Name,Album_Name,Song_Type,Artist Name(s),Language,Release Year,Mood,Genre_category,Duration (mins),Popularity,Stream Category,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Karma Song,Kantara A Legend Chapter 1 - Kannada ,Movie,B. Ajaneesh Loknath;Trilok Trivikrama;Venkatesh D. C.,Kannada,2025,Energetic,Dance,4,48,Medium,Hombale Films,0.42,0.554,-8.184,0.0643,0.374,0.00000188,0.0841,0.537,149.95
Gangi Gangi ,Brat,Movie,Arjun Janya;Balu Belagundi;Indu Nagaraj,Kannada,2025,Energetic,Dance,4.05,38,Low,Aananda Audio Video,0.832,0.972,-4.722,0.176,0.219,0.00000264,0.0824,0.638,132.024
Love You Kane Love You Too Kano,Bheema ,Movie,Charan Raj;Vaish;Kaviraj,Kannada,2024,Romantic,Soul,3.82,45,Medium,Aananda Audio Video,0.673,0.517,-8.068,0.05,0.539,0.00143,0.355,0.367,145.345
Settagalla ,KD: The Devil,Movie,Mika Singh;Arjun Janya,Kannada,2025,Happy,Pop,3.4,0,Low,Aananda Audio Video,0.691,0.948,-2.871,0.0371,0.0376,0.00187,0.315,0.745,127.989
Maximum Mass,Max ,Movie,B. Ajaneesh Loknath;Chethan Gandharva;MC Bijju;Anup Bhandari,Kannada,2025,Energetic,Dance,2.41,25,Low,Saregama India Ltd,0.57,0.952,-6.326,0.102,0.0766,0.0000177,0.602,0.495,163.956
Don't Worry Baby Chinnamma,Bheema ,Movie,Gana Muthu;Nagarjun Sharma,Kannada,2024,Happy,Pop,3.4,51,Medium,Aananda Audio Video,0.708,0.76,-7.91,0.292,0.675,0.0000422,0.229,0.929,139.94
BRAT Theory ,Brat,Movie,Rahul Dit-O;Arjun Janya,Kannada,2025,Energetic,Dance,2.68,0,Low,Aananda Audio Video,0.741,0.81,-5.009,0.0944,0.0151,0.000305,0.368,0.526,99.008
Hot'tu Mamma,Max ,Movie,B. Ajaneesh Loknath;Nakash Aziz;Aishwarya Rangarajan;Anup Bhandari,Kannada,2025,Happy,Pop,3.05,23,Low,Saregama India Ltd,0.775,0.948,-4.849,0.301,0.388,0.0000417,0.0523,0.482,135.053
Jeeva Neene,Martin ,Movie,Mani Sharma;Sonu Nigam;Shruthika Samudhrala,Kannada,2025,Romantic,Soul,3.93,47,Medium,Saregama India Ltd,0.588,0.631,-6.495,0.0752,0.87,0.0000341,0.0893,0.449,79.479
Bad Boys,Bheema ,Movie,Rahul Dit-O;MC Bijju;Nagarjun Sharma,Kannada,2024,Energetic,Dance,2.52,51,Medium,Aananda Audio Video,0.84,0.785,-6.682,0.461,0.458,0,0.389,0.718,160.195
Feel The Power - Kannada ,Yuvarathnaa ,Movie,Thaman S;Santhosh Ananddram;Shashank Sheshagiri,Kannada,2021,Energetic,Dance,4.06,29,Low,Divo Tv Private Limited,0.7,0.935,-5.94,0.0527,0.037,0.00268,0.104,0.692,104.999
Yava Janumada Gelathi ,Kaatera ,Movie,Hemanth Kumar;Rakshita Suresh;V. Harikrishna,Kannada,2024,Romantic,Soul,3.89,0,Low,Aananda Audio Video,0.673,0.684,-8.192,0.0604,0.621,0.00000222,0.049,0.509,80.925
BOYS SARIGILLA,Hostel Hudugaru Bekagiddare ,Movie,B. Ajaneesh Loknath,Kannada,2023,Energetic,Dance,3.01,23,Low,Think Music Kannada,0.738,0.967,-3.056,0.149,0.527,0.0000395,0.0372,0.831,148.032
Ra Ra Rakkamma,Vikrant Rona ,Movie,Nakash Aziz;Sunidhi Chauhan;B. Ajaneesh Loknath;Anup Bhandari,Kannada,2022,Energetic,Dance,3.64,35,Low,T-Series,0.839,0.972,-5.72,0.102,0.431,0.0002,0.0907,0.365,130.012
Pasandaagavne - ,Kaatera ,Movie,Mangli;V. Harikrishna,Kannada,2024,Romantic,Soul,3.52,0,Low,Aananda Audio Video,0.897,0.621,-7.459,0.077,0.309,0.00000744,0.0608,0.882,116.992
Horaata ,Sapta Sagaradaache Ello - Side A ,Movie,Charanraj MR;MC Bijju;Kiran Kaverappa;Keerthan Holla,Kannada,2023,Energetic,Dance,3.14,29,Low,Paramvah Music,0.704,0.697,-8.229,0.0505,0.583,0.0243,0.189,0.64,102.007
Dorassani ,Pailwaan,Movie,Vijay Prakash,Kannada,2019,Romantic,Soul,4.28,0,Low,Lahari Music,0.447,0.635,-7.107,0.133,0.138,0.0000643,0.0885,0.597,169.615
Neenire Saniha,Kirik Party ,Movie,Shreya Ghoshal,Kannada,2017,Romantic,Soul,3.64,0,Low,Divo Tv Private Limited,0.467,0.631,-6.256,0.13,0.677,0,0.319,0.585,179.471
Marali Manasaagide,Gentleman,Movie,Sanjith Hegde;C.R.Bobby,Kannada,2019,Romantic,Soul,3.03,0,Low,Aananda Audio Video,0.466,0.73,-5.13,0.0753,0.114,0,0.0804,0.411,72.139
Guruvara ,Power ,Movie,Puneeth Rajkumar,Kannada,2022,Happy,Pop,4.61,0,Low,Lahari Music,0.726,0.548,-9.562,0.0339,0.616,0.0124,0.321,0.629,130.99
Hoovina Baanadanthe,Birugaali ,Movie,Shreya Ghoshal,Kannada,2018,Romantic,Soul,4.56,0,Low,Alpha Digitech,0.435,0.649,-6.943,0.0412,0.0788,0,0.16,0.516,99.672
Arare Shuruvayitu Hege,Gentleman,Movie,Vijay Prakash,Kannada,2019,Romantic,Soul,2.91,0,Low,Aananda Audio Video,0.6,0.665,-5.91,0.0435,0.46,0,0.141,0.398,91.901
Neenu Irade,Mungaru Male 2,Movie,Arjun Janya;Anuradha Bhat;Armaan Malik;Kaviraj,Kannada,2016,Sad,Blues,4.92,51,Medium,Jhankar Music,0.492,0.71,-7.211,0.0521,0.319,0,0.285,0.352,81.235
Katheyondu Helide (Farewell),Kirik Party ,Movie,B. Ajaneesh Loknath,Kannada,2019,Romantic,Soul,3.78,0,Low,Divo TV Private Limited,0.505,0.651,-5.47,0.0747,0.726,0,0.228,0.447,169.984
Kushiyagide,Tajmahal ,Movie,Abhimann Roy;Kunal Ganjawala;R Chandru,Kannada,2020,Happy,Pop,4.63,54,Medium,Jhankar Music,0.829,0.554,-6.905,0.0352,0.319,0.000301,0.308,0.79,100.015
Anisuthidhe,99,Movie,Sanjith Hegde;Shreya Ghoshal,Kannada,2019,Romantic,Soul,4.36,0,Low,Aananda Audio Video,0.488,0.399,-8.309,0.0328,0.391,0.00000324,0.283,0.215,129.703
Roopasi,Mugulu Nage,Movie,Sonu Nigam,Kannada,2017,Romantic,Soul,4.27,0,Low,D Beats,0.628,0.533,-8.372,0.0299,0.838,0.00133,0.358,0.377,111.005
Ille Ile Ello,Chirru,Movie,Sonu Nigam;Shreya Ghoshal;Ghouse Peer,Kannada,2017,Romantic,Soul,4.72,34,Low,Jhankar Music,0.453,0.769,-7.388,0.0898,0.0924,0.0000192,0.0969,0.758,78.274
Marate Hodenu,Dayavittu Gamanisi ,Movie,Pradeep Kumar;Shweta Devanahalli,Kannada,2019,Sad,Blues,4.09,0,Low,JP Music,0.413,0.313,-8.519,0.0346,0.787,0,0.113,0.551,146.993
Ninna Snehadinda,Mugulu Nage,Movie,Shreya Ghoshal,Kannada,2017,Romantic,Soul,4,0,Low,D Beats,0.691,0.438,-6.531,0.0348,0.896,0.0000221,0.136,0.459,114.669
Kere Yeri,Mugulu Nage,Movie,Sonu Nigam,Kannada,2017,Happy,Pop,4.65,0,Low,D Beats,0.766,0.486,-8.145,0.031,0.412,0.0000274,0.114,0.723,96.001
Patra Bareyala,Aramane,Movie,Guru Kiran;Karthik;Kaviraj;Shweta,Kannada,2020,Romantic,Soul,4.42,40,Medium,Jhankar Music,0.599,0.716,-7.919,0.0588,0.16,0.00000127,0.558,0.593,156.877
Ee Touchali,Dhumm,Movie,Lakshmi,Kannada,2017,Happy,Pop,4.1,48,Medium,Times Music,0.772,0.678,-8.832,0.0663,0.155,0.0142,0.113,0.767,91.009
Hunna Hunna,Kotigobba 2,Movie,Jithin Raj;Shashaa Tirupati;Mc Rude,Kannada,2016,Happy,Pop,4.38,0,Low,Aananda Audio Video,0.55,0.724,-8.181,0.16,0.0558,0,0.139,0.742,170.03
Tere Vaaste ,Zara Hatke Zara Bachke,Movie,Varun Jain;Sachin-Jigar;Shadab Faridi;Altamash Faridi;Amitabh Bhattacharya,Hindi,2023,Romantic,Soul,3.15,62,Medium,Saregama India Ltd,0.762,0.717,-8.316,0.0372,0.315,0.0000187,0.0914,0.958,109.996
Hawayein ,Jab Harry Met Sejal,Movie,Pritam;Arijit Singh,Hindi,2017,Romantic,Soul,4.83,68,Medium,Sony Music Entertainment India Pvt. Ltd.,0.606,0.601,-5.576,0.0283,0.796,0.000511,0.127,0.453,125.961
Kya Mujhe Pyar Hai ,Woh Lamhe,Movie,Pritam;KK,Hindi,2022,Romantic,Soul,4.44,58,Medium,T-Series,0.644,0.818,-5.924,0.0549,0.431,0.0000262,0.0806,0.789,118.477
Dil Mein Ho Tum,Why Cheat India,Movie,Armaan Malik,Hindi,2019,Romantic,Soul,5.45,48,Medium,T-Series,0.608,0.653,-7.573,0.0427,0.507,0.000243,0.107,0.423,86.933
Bolna ,Kapoor & Sons (Since 1921) ,Movie,Tanishk Bagchi;Arijit Singh;Asees Kaur,Hindi,2016,Romantic,Soul,3.55,67,Medium,Sony Music Entertainment India Pvt. Ltd.,0.488,0.403,-7.005,0.0272,0.598,0.00000428,0.434,0.497,131.489
Ya Rabba ,Salaam-E-Ishq,Movie,Kailash Kher,Hindi,2017,Sad,Blues,6.98,57,Medium,T-Series,0.648,0.414,-10.933,0.0314,0.26,0.0000172,0.0748,0.583,143.971
Mere Nishaan ,Oh My God,Movie,Kailash Kher;Meet Bros Anjjan,Hindi,2017,Energetic,Dance,5.01,53,Medium,T-Series,0.586,0.524,-8.576,0.0436,0.74,0.00000298,0.136,0.529,98.077
Malang ,Malang - Unleash The Madness,Movie,Ved Sharma;Kunaal Vermaa,Hindi,2020,Energetic,Dance,4.79,67,Medium,T-Series,0.384,0.728,-6.503,0.0623,0.329,0.0000185,0.329,0.311,156.396
Kaun Tujhe,M.S.Dhoni - The Untold Story,Movie,Palak Muchhal;Amaal Mallik;Manoj Muntashir,Hindi,2016,Romantic,Soul,4.02,67,Medium,T-Series,0.531,0.431,-8.937,0.037,0.868,0.0000247,0.127,0.19,107.99
Brown Rang,Chaar Ikke,Movie,Yo Yo Honey Singh,Hindi,2018,Energetic,Dance,3.52,44,Medium,Speed Records,0.804,0.902,-3.067,0.0846,0.265,0.000413,0.0651,0.72,155.98
Angreji Beat,Chaar Ikke,Movie,Yo Yo Honey Singh;Gippy Grewal,Hindi,2018,Energetic,Dance,4.27,43,Medium,Speed Records,0.851,0.998,-1.558,0.301,0.204,0.00102,0.0653,0.255,119.961
Paniyon Sa,Satyameva Jayate,Movie,Tulsi Kumar;Atif Aslam;Rochak Kohli;Kumaar,Hindi,2018,Romantic,Soul,3.94,72,Medium,T-Series,0.523,0.768,-4.953,0.0566,0.447,0.000226,0.0833,0.669,75.03
Enna Sona ,OK Jaanu,Movie,A.R. Rahman;Arijit Singh,Hindi,2017,Romantic,Soul,3.56,59,Medium,Sony Music Entertainment India Pvt. Ltd.,0.717,0.415,-9.875,0.0302,0.637,0.00000143,0.0976,0.379,100.021
Humnava Mere,Humnava Mere,Movie,Jubin Nautiyal;Rocky - Shiv;Manoj Muntashir;Rocky Khanna,Hindi,2018,Sad,Blues,5.48,76,High,T-Series,0.401,0.553,-8.263,0.0337,0.47,0.00000296,0.124,0.364,79.144
Kaabil Hoon,Kaabil,Movie,Jubin Nautiyal;Palak Muchhal;Rajesh Roshan;Nasir Faraaz,Hindi,2016,Romantic,Soul,5.23,51,Medium,T-Series,0.662,0.873,-3.927,0.0489,0.043,0.00000171,0.338,0.532,89.972
Hardum Humdum ,Ludo,Movie,Pritam;Arijit Singh,Hindi,2020,Romantic,Soul,3.13,39,Low,T-Series,0.59,0.821,-4.933,0.0444,0.346,0.00000838,0.454,0.784,116.942
Hua Hain Aaj Pehli Baar,Sanam Re,Movie,Amaal Mallik;Manoj Yadav;Armaan Malik;Palak Muchhal,Hindi,2016,Romantic,Soul,5.15,72,Medium,T-Series,0.495,0.729,-6.453,0.103,0.6,0.0000413,0.0993,0.683,155.892
Yeh Dooriyan,Love Aaj Kal ,Movie,Pritam;Mohit Chauhan,Hindi,2020,Sad,Blues,4.03,65,Medium,Sony Music Entertainment India Pvt. Ltd.,0.615,0.566,-7.841,0.0304,0.696,0.053,0.0964,0.309,109.986
Mehrama,Love Aaj Kal ,Movie,Pritam;Darshan Raval;Antara Mitra,Hindi,2020,Sad,Blues,4.16,70,Medium,Sony Music Entertainment India Pvt. Ltd.,0.56,0.631,-9.032,0.0334,0.861,0.0133,0.0985,0.376,107.987
"Ae Zindagi Gale Laga Le - Take, 1",Dear Zindagi,Movie,Ilaiyaraaja;Amit Trivedi;Arijit Singh,Hindi,2016,Energetic,Dance,2.85,53,Medium,Sony Music Entertainment India Pvt. Ltd.,0.494,0.712,-6.605,0.0346,0.195,0.00028,0.108,0.386,156.059
Saware ,Phantom,Movie,Pritam;Arijit Singh,Hindi,2019,Romantic,Soul,5.36,41,Medium,T-Series,0.499,0.683,-6.373,0.0333,0.702,0.00163,0.0749,0.297,134.958
Nazar Na Lag Jaaye ,Stree,Movie,Ash King;Sachin-Jigar,Hindi,2018,Romantic,Soul,3.44,67,Medium,T-Series,0.527,0.622,-8.172,0.0842,0.7,0.00000282,0.126,0.672,173.709
Pehla Pyaar,Kabir Singh,Movie,Armaan Malik;Vishal Mishra;Irshad Kamil,Hindi,2019,Romantic,Soul,4.54,71,Medium,T-Series,0.607,0.713,-5.105,0.03,0.56,0.0000498,0.101,0.611,124.868
Jab Tak,M.S.Dhoni - The Untold Story,Movie,Armaan Malik;Amaal Mallik;Manoj Muntashir,Hindi,2016,Romantic,Soul,2.9,65,Medium,T-Series,0.299,0.447,-7.862,0.0383,0.858,0.000314,0.097,0.321,121.723
Besabriyaan,M.S.Dhoni - The Untold Story,Movie,Armaan Malik;Amaal Mallik;Manoj Muntashir,Hindi,2016,Energetic,Dance,4.26,62,Medium,T-Series,0.338,0.459,-8.827,0.027,0.533,0.0000133,0.22,0.32,81.203
Kuch Din,Kaabil,Movie,Jubin Nautiyal;Rajesh Roshan;Manoj Muntashir,Hindi,2016,Sad,Blues,4.81,43,Medium,T-Series,0.606,0.605,-5.661,0.0233,0.17,0.000144,0.0898,0.281,105.986
Dekh Lena,Tum Bin 2,Movie,Arijit Singh;Tulsi Kumar;Ankit Tiwari;Manoj Muntashir,Hindi,2016,Romantic,Soul,4.69,56,Medium,T-Series,0.566,0.597,-7.889,0.0407,0.809,0.0117,0.297,0.654,151.872
Roke Na Ruke Naina ,Badrinath Ki Dulhania,Movie,Arijit Singh,Hindi,2020,Sad,Blues,4.64,57,Medium,T-Series,0.501,0.382,-9.31,0.0283,0.722,0.0000115,0.154,0.264,80.657
Tum Hi Aana ,Marjaavaan,Movie,Payal Dev;Jubin Nautiyal;Kunaal Vermaa,Hindi,2019,Sad,Blues,4.15,72,Medium,T-Series,0.473,0.401,-7.018,0.0241,0.629,0.0000117,0.154,0.345,90.076
Galliyan ,Ek Villain,Movie,Ankit Tiwari,Hindi,2017,Romantic,Soul,5.67,61,Medium,T-Series,0.552,0.75,-5.215,0.039,0.445,0.0000737,0.291,0.4,89.999
Tu Hi Hai,Dear Zindagi ,Movie,Amit Trivedi;Arijit Singh;Kausar Munir,Hindi,2016,Romantic,Soul,3.33,60,Medium,Sony Music Entertainment India Pvt. Ltd.,0.707,0.501,-7.389,0.0372,0.387,0.00000181,0.095,0.542,93.978
Kabhii Tumhhe,Shershaah ,Movie,Javed-Mohsin;Darshan Raval;Rashmi Virag,Hindi,2021,Romantic,Soul,3.84,56,Medium,Sony Music Entertainment India Pvt. Ltd.,0.573,0.338,-7.478,0.027,0.864,0.00000441,0.133,0.451,96.981
Mere Yaaraa ,Sooryavanshi,Movie,Arijit Singh;Neeti Mohan;Rashmi Virag,Hindi,2021,Romantic,Soul,4.75,66,Medium,T-Series,0.324,0.539,-8.076,0.038,0.713,0.0000315,0.118,0.486,120.526
Tu Mera Hogaya Hai ,Tadap,Movie,Pritam;Jubin Nautiyal,Hindi,2021,Romantic,Soul,5.15,41,Medium,T-Series,0.598,0.814,-6.698,0.0667,0.453,0.00000271,0.178,0.613,92.955
Kiston ,Roohi,Movie,Sachin-Jigar;Jubin Nautiyal,Hindi,2021,Romantic,Soul,2.69,46,Medium,Sony Music Entertainment India Pvt. Ltd.,0.521,0.309,-8.524,0.0341,0.68,0.0000131,0.103,0.312,150.07
Kalle Kalle ,Chandigarh Kare Aashiqui,Movie,Priya Saraiya;Sachin-Jigar,Hindi,2021,Sad,Blues,3.79,47,Medium,T-Series,0.707,0.417,-9.269,0.0438,0.73,0.0000207,0.106,0.57,115.939
Meri Zindagi Hai Tu ,Satyameva Jayate 2,Movie,Rochak Kohli;Jubin Nautiyal;Neeti Mohan;Manoj Muntashir,Hindi,2021,Romantic,Soul,4.74,60,Medium,T-Series,0.649,0.86,-4.07,0.0359,0.38,0.000547,0.147,0.585,96.025
Mere Rashke Qamar,Baadshaho,Movie,Nusrat Fateh Ali Khan;Rahat Fateh Ali Khan;Tanishk Bagchi;A1 Melody Master-Fana;Manoj Muntashir,Hindi,2017,Romantic,Soul,3.67,64,Medium,T-Series,0.718,0.83,-5.488,0.0505,0.404,0.000025,0.124,0.771,105.012
Soch Liya,Radhe Shyam,Movie,Mithoon;Arijit Singh;Manoj Muntashir,Hindi,2022,Sad,Blues,4.72,52,Medium,T-Series,0.597,0.52,-7.624,0.036,0.484,0.00000105,0.103,0.192,119.923
Channa Mereya,Ae Dil Hai Mushkil ,Movie,Pritam;Arijit Singh,Hindi,2016,Sad,Blues,4.82,73,Medium,Sony Music Entertainment India Pvt. Ltd.,0.476,0.788,-4.821,0.0446,0.237,0.0000249,0.106,0.746,90.066
Kasoor - Acoustic,Shehron Ke Raaz,Movie,Prateek Kuhad,Hindi,2021,Sad,Blues,3.56,44,Medium,Elektra (NEK),0.62,0.111,-14.142,0.0355,0.896,0.00135,0.113,0.477,127.96
Pehli Dafa,Pehli Dafa,Movie,Atif Aslam;Shiraz Uppal;Shakeel Sohail,Hindi,2017,Romantic,Soul,4.98,77,High,T-Series,0.679,0.537,-7.843,0.0322,0.844,0.00000334,0.108,0.481,111.979
Shukriya,Sadak 2 ,Movie,Jeet Gannguli;Jubin Nautiyal,Hindi,2020,Sad,Blues,4.75,44,Medium,Sony Music Entertainment India Pvt. Ltd.,0.341,0.321,-11.77,0.0385,0.351,0.0000148,0.106,0.158,139.118
Dil Diyan Gallan,Tiger Zinda Hai,Movie,Vishal-Shekhar;Atif Aslam;Irshad Kamil,Hindi,2017,Romantic,Soul,4.34,68,Medium,YRF Music,0.716,0.64,-8.726,0.025,0.565,0.00139,0.127,0.485,105.012
Kho Gaye,Mismatched: Season 2 ,Private,Taaruk Raina;Mismatched - Cast,Hindi,2022,Calm,Acoustic,3.3,67,Medium,Netflix Music,0.478,0.374,-11.627,0.0361,0.628,0.000736,0.0979,0.218,76.163
Akhiyaan,Teri Baaton Mein Aisa Uljha Jiya,Movie,Mitraz,Hindi,2022,Romantic,Soul,3.2,65,Medium,Mitraz Records,0.724,0.618,-9.007,0.0534,0.0533,0.704,0.0886,0.0683,100.021
Lo Maan Liya,Raaz Reboot,Movie,Arijit Singh,Hindi,2016,Sad,Blues,5,65,Medium,T-Series,0.568,0.55,-6.172,0.0262,0.728,0.0000362,0.251,0.436,110.079
Sanu Ek Pal Chain,Raid,Movie,Rahat Fateh Ali Khan;Tanishk Bagchi;Nusrat Fateh Ali Khan;Manoj Muntashir,Hindi,2018,Romantic,Soul,3.51,63,Medium,T-Series,0.71,0.813,-6.099,0.0381,0.545,0.0000168,0.105,0.847,139.998
Raaton,Raaton,Movie,Aditya Rikhari,Hindi,2023,Calm,Acoustic,3.34,50,Medium,T-Series,0.537,0.374,-9.385,0.047,0.779,0.00198,0.107,0.102,149.806
Tumhe Kitna Pyaar Karte ,Bawaal,Movie,Mithoon;Arijit Singh;Manoj Muntashir,Hindi,2023,Romantic,Soul,5.09,57,Medium,T-Series,0.602,0.374,-9.849,0.0328,0.924,0.00000753,0.084,0.388,101.855
Kabhii Tumhhe ,Shershaah,Movie,Javed-Mohsin;Darshan Raval;Rashmi Virag,Hindi,2021,Romantic,Soul,3.84,60,Medium,Sony Music Entertainment India Pvt. Ltd.,0.552,0.336,-7.466,0.0284,0.84,0.00000192,0.12,0.394,96.869
Tere Hawaale ,Laal Singh Chaddha,Movie,Pritam;Arijit Singh;Shilpa Rao,Hindi,2022,Romantic,Soul,5.77,73,Medium,T-Series,0.589,0.522,-10.649,0.0391,0.642,0.0000274,0.0992,0.31,109.094
Naina Da Kya Kasoor,Andhadhun ,Movie,Amit Trivedi,Hindi,2018,Happy,Pop,3.52,69,Medium,Zee Music Company,0.712,0.659,-6.348,0.0538,0.159,0.0129,0.0781,0.545,63.048
Sajni ,Laapataa Ladies,Movie,Ram Sampath;Arijit Singh;Prashant Pandey,Hindi,2024,Sad,Blues,2.83,77,High,T-Series,0.428,0.413,-7.783,0.0281,0.827,0.00000935,0.108,0.355,79.646
Phir Bhi Tumko Chaahunga,Half Girlfriend ,Movie,Mithoon;Manoj Muntashir;Arijit Singh;Shashaa Tirupati,Hindi,2017,Sad,Blues,5.86,73,Medium,Zee Music Company,0.528,0.524,-8.107,0.0337,0.877,0.000014,0.172,0.269,99.636
Khairiyat Bonus Track,Chhichhore,Movie,Pritam;Arijit Singh,Hindi,2019,Sad,Blues,4.51,66,Medium,T-Series,0.605,0.655,-5.625,0.0364,0.484,0.00000113,0.152,0.597,124.974
Tera Yaar Hoon Main ,Sonu Ke Titu Ki Sweety,Movie,Arijit Singh,Hindi,2020,Happy,Pop,4.41,59,Medium,T-Series,0.566,0.541,-5.525,0.0306,0.341,0.00000445,0.102,0.31,83.939
Yeh Fitoor Mera,Fitoor ,Movie,Amit Trivedi;Arijit Singh,Hindi,2018,Romantic,Soul,4.72,74,Medium,Zee Music Company,0.45,0.42,-8.92,0.0272,0.386,0.000106,0.11,0.201,163.749
Tenu Sang Rakhna ,Jigra,Movie,Achint;Arijit Singh;Anumita Nadesan;Varun Grover,Hindi,2024,Sad,Blues,4.16,70,Medium,Saregama India Ltd,0.604,0.354,-6.716,0.0249,0.845,0.000148,0.0921,0.277,110.036
Jaane De,Qarib Qarib Singlle ,Movie,Atif Aslam;Raj Shekhar;Vishal Mishra,Hindi,2018,Sad,Blues,4.99,53,Medium,Zee Music Company,0.686,0.462,-6.202,0.0269,0.729,0.00000332,0.111,0.385,106.024
Tay Hai,Rustom ,Movie,Ankit Tiwari;Manoj Muntashir,Hindi,2016,Energetic,Dance,3.8,60,Medium,Zee Music Company,0.393,0.293,-12.256,0.0406,0.898,0.0000145,0.112,0.153,127.302
Jaiye Sajana,Dhurandhar The Revenge,Movie,Shashwat Sachdev;Jasmine Sandlas;Satinder Sartaaj,Hindi,2026,Romantic,Soul,3,84,High,T-Series,0.771,0.558,-12.022,0.128,0.286,0.00000934,0.102,0.235,79.994
Tum Ho Toh ,Saiyaara,Movie,Vishal Mishra;Hansika Pareek;Raj Shekhar,Hindi,2025,Romantic,Soul,5.3,82,High,YRF Music,0.429,0.576,-10.141,0.0472,0.601,0.00000385,0.121,0.341,116.971
Apna Bana Le,Bhediya,Movie,Sachin-Jigar;Arijit Singh;Amitabh Bhattacharya,Hindi,2022,Romantic,Soul,4.36,81,High,Zee Music Company,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.063,0.436,93.982
Darkhaast,Shivaay,Movie,Mithoon;Arijit Singh;Sunidhi Chauhan;Sayeed Quadri,Hindi,2016,Romantic,Soul,6.24,81,High,T-Series,0.523,0.557,-7.799,0.0293,0.813,0.000581,0.0958,0.196,111.766
Tujhko ,Cocktail - 2,Movie,Pritam;Arijit Singh;Sunidhi Chauhan;Amitabh Bhattacharya,Hindi,2026,Romantic,Soul,5.71,74,Medium,Universal Music India Pvt. Ltd. (Maddock Films Pvt. Ltd),0.435,0.544,-6.887,0.0306,0.448,0.00000706,0.0929,0.333,150.043
Majboor,Majboor,Movie,Sheheryar Rehan;Zoha Waseem,Hindi,2025,Sad,Blues,2.42,84,High,Chakor,0.787,0.488,-8.537,0.308,0.716,0.00000913,0.144,0.368,89.999
Ishq ,Lost;Found,Movie,Faheem Abdullah;Rauhan Malik;Amir Ameer,Hindi,2024,Romantic,Soul,3.81,72,Medium,Artiste First,0.383,0.547,-8.862,0.0275,0.423,0.0466,0.147,0.236,95.068
Thodi Der,Half Girlfriend ,Movie,Farhan Saeed;Shreya Ghoshal;Kumaar,Hindi,2017,Romantic,Soul,4.94,72,Medium,Zee Music Company,0.517,0.456,-6.544,0.0294,0.898,0.0000225,0.0835,0.43,89.98
Barbaad ,Saiyaara,Movie,The Rish;Jubin Nautiyal,Hindi,2025,Sad,Blues,5.95,81,High,YRF Music,0.466,0.51,-7.863,0.0319,0.379,0.00000447,0.185,0.284,93.988
Deewaana Deewaana,Tere Ishk Mein,Movie,A.R. Rahman;Irshad Kamil,Hindi,2025,Romantic,Soul,5.62,81,High,T-Series,0.665,0.852,-5.494,0.0416,0.152,0.000413,0.337,0.745,136.012
Saiyaara ,Saiyaara,Movie,Tanishk Bagchi;Faheem Abdullah;Arslan Nizami;Irshad Kamil,Hindi,2025,Romantic,Soul,6.18,81,High,YRF Music,0.193,0.631,-7.172,0.0404,0.495,0.0000058,0.139,0.253,77.825
Chand Mera Dil - Title Track,Chand Mera Dil ,Movie,Sachin-Jigar;Faheem Abdullah;Amitabh Bhattacharya,Hindi,2026,Romantic,Soul,4.68,80,High,Sony Music Entertainment India Pvt. Ltd.,0.454,0.522,-7.769,0.0327,0.388,0.00000349,0.0833,0.319,154.121
Shararat ,Dhurandhar,Movie,Shashwat Sachdev;Madhubanti Bagchi;Jasmine Sandlas,Hindi,2025,Happy,Pop,3.73,77,High,Saregama India Ltd,0.731,0.827,-5.507,0.0704,0.0142,0.0000325,0.0719,0.332,130.955
Agar Tum Saath Ho ,Tamasha,Movie,Alka Yagnik;Arijit Singh,Hindi,2017,Sad,Blues,5.68,73,Medium,T-Series,0.562,0.519,-8.744,0.0326,0.557,0.000268,0.172,0.415,122.925
Raanjhan ,Do Patti,Movie,Sachet-Parampara;Parampara Tandon;Kausar Munir,Hindi,2024,Sad,Blues,4,82,High,T-Series,0.444,0.49,-7.328,0.0295,0.809,0.0000296,0.107,0.2,92.107
Mast Magan ,2 States,Movie,Arijit Singh;Chinmayi,Hindi,2019,Romantic,Soul,4.67,65,Medium,T-Series,0.659,0.774,-7.014,0.0372,0.606,0.000333,0.185,0.883,82.995
Jaan Se Guzarte Hain,Dhurandhar The Revenge,Movie,Shashwat Sachdev;Khan Saab,Hindi,2026,Sad,Blues,5.54,80,High,T-Series,0.676,0.901,-7.758,0.0491,0.0744,0.344,0.109,0.547,107.997
Teri Meri Kahaani,Gabbar Is Back ,Movie,Palak Muchhal;Manoj Yadav;Arijit Singh,Hindi,2018,Romantic,Soul,5.52,71,Medium,Zee Music Company,0.602,0.801,-6.537,0.0374,0.16,0.0000013,0.314,0.347,109.986
Naal Nachna,Dhurandhar,Movie,Shashwat Sachdev;Afsana Khan;Irshad Kamil;Reble,Hindi,2025,Energetic,Dance,2.59,79,High,Saregama India Ltd,0.79,0.715,-7.881,0.0765,0.106,0.12,0.11,0.833,140.018
Aaj Se Teri,Padman ,Movie,Amit Trivedi;Arijit Singh,Hindi,2017,Romantic,Soul,5.2,76,High,Zee Music Company,0.704,0.567,-5.703,0.0343,0.589,0.00000101,0.178,0.863,79.981
